FrameIndex,JointIndex,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
5,1,10.58447,1.06901,8.98574,0.98176,-0.06926,-0.15329,-0.08858,1,1,1
5,2,10.56434,1.0817,9.03955,0.98107,-0.06221,-0.17436,-0.05684,1.00005,1.00004,0.99999
5,3,10.55178,1.08702,9.07447,0.98177,-0.02823,-0.17121,-0.07752,0.99996,0.99995,0.99995
5,4,10.54381,1.08899,9.09704,0.98349,-0.04906,-0.14353,-0.0987,1.00005,1.00001,1
5,5,10.53827,1.09268,9.11814,0.98349,-0.04906,-0.14353,-0.0987,1,1,1
5,6,10.62473,1.06267,8.99646,0.95483,-0.0049,-0.02657,-0.29592,1.00002,1.00001,0.99996
5,7,10.62257,1.0638,9.04151,0.96445,-0.17158,0.00387,-0.20095,0.99996,1.00004,1.00007
5,8,10.62489,1.0738,9.07008,0.96687,-0.01427,-0.00122,-0.25487,1.00002,1.00001,0.99994
5,9,10.62498,1.07437,9.09014,0.96594,-0.01032,-0.05306,-0.25304,1.00002,0.99997,0.99997
5,10,10.62325,1.07655,9.11166,0.96594,-0.01032,-0.05306,-0.25304,1,1,1
5,11,10.6005,1.06821,8.98852,0.98176,-0.06926,-0.15329,-0.08858,1,1,1
5,12,10.58558,1.08295,9.04547,0.98646,-0.03931,-0.1281,-0.09457,0.99996,1.00001,1.00001
5,13,10.57517,1.08727,9.08637,0.98613,-0.03017,-0.12501,-0.10491,1.00003,1,1.00004
5,14,10.56863,1.0896,9.1127,0.97793,-0.08903,-0.11564,-0.14949,0.99997,1.00001,0.99996
5,15,10.56434,1.09572,9.13624,0.97793,-0.08903,-0.11564,-0.14949,1,1,1
5,16,10.60027,1.07633,9.00101,0.98176,-0.06926,-0.15329,-0.08858,1,1,1
5,17,10.61777,1.06727,8.99427,0.98176,-0.06926,-0.15329,-0.08858,1,1,1
5,18,10.60457,1.07509,9.04536,0.97897,-0.11659,-0.07759,-0.14836,0.99999,1.00004,1.00004
5,19,10.60005,1.08478,9.08239,0.9784,-0.0565,-0.0891,-0.1778,1.00004,0.99993,0.99994
5,20,10.596,1.08851,9.10807,0.97462,-0.05923,-0.11838,-0.18052,0.99993,1.00003,1.00001
5,21,10.59178,1.0937,9.13121,0.97462,-0.05923,-0.11838,-0.18052,1,1,1
5,22,10.57423,1.06351,8.98174,0.75529,-0.30559,-0.32661,0.47904,1.00002,0.99997,0.99999
5,23,10.54897,1.06829,9.00101,0.84785,-0.18237,-0.22879,0.4422,0.99999,0.99999,1.00005
5,24,10.53063,1.07186,9.02869,0.77033,-0.24656,-0.3084,0.50069,1.00001,0.99999,1
6,25,10.51265,1.07458,9.04487,0.77033,-0.24656,-0.3084,0.50069,1,1,1
6,0,10.61488,1.0697,8.95656,0.9817,-0.06982,-0.15329,-0.08887,1,1,1
6,1,10.58439,1.06903,8.98576,0.9817,-0.06982,-0.15329,-0.08887,1,1,1
6,2,10.56427,1.0818,9.03955,0.981,-0.06267,-0.17449,-0.05709,1.00005,1.00004,0.99999
6,3,10.55171,1.08716,9.07445,0.98172,-0.02851,-0.17137,-0.07773,0.99996,0.99995,0.99995
